"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"Omicron VOC";" -1.51501397";"   0.1792118";"Inf";"   -1.866263";"-1.163765e+00";"V3 60+";"no-vax";"130";"  7997";" 632395";"41";"10487";" 892312";"6277.756";"6289.181";"167779";"0.0083621727";"covid_voc"
"(V3 14-60D) - (no-vax)";"0";"  0.00000000";"   0.0000000";"Inf";"    0.000000";" 0.000000e+00";"V3 14-60D";"no-vax";"  0";" 12814";" 121994";" 1";" 5482";" 150403";"1099.082";"1105.415";"105515";"0.9006724031";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"0";"  0.00000000";"   0.0000000";"Inf";"    0.000000";" 0.000000e+00";"V3 60+";"no-vax";"  0";" 12814";" 121994";" 4";" 4381";" 254322";"1099.082";"1105.415";"105515";"0.9006724031";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"1";"-13.30072139";"2671.0964094";"Inf";"-5947.973905";" 5.921372e+03";"V3 14-60D";"no-vax";"  1";" 41453";" 450908";"12";"23394";" 640956";"1099.082";"1105.415";"105515";"0.9006724031";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"1";"-13.48604948";"2671.0962584";"Inf";"-5948.158897";" 5.921187e+03";"V3 60+";"no-vax";"  1";" 41453";" 450908";"43";"17991";"1036287";"1099.082";"1105.415";"105515";"0.9006724031";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"0";" 15.22253004";"1274.5602648";"Inf";"-2816.610345";" 2.847055e+03";"V3 14-60D";"no-vax";"  7";" 27108";" 370447";" 4";"10696";" 266078";"1314.813";"1326.400";"149516";"0.4034216121";"vac_diff_vac"
"(V3 60+) - (no-vax)";"0";" -2.34578596";"   0.4667127";"Inf";"   -3.382734";"-1.308838e+00";"V3 60+";"no-vax";"  7";" 27108";" 370447";"20";" 5874";" 351693";"1314.813";"1326.400";"149516";"0.4034216121";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"1";" 14.99934066";"1274.5599456";"Inf";"-2816.832825";" 2.846832e+03";"V3 14-60D";"no-vax";"  8";" 71160";" 971588";" 9";"18180";" 525281";"1314.813";"1326.400";"149516";"0.4034216121";"vac_diff_vac"
"(V3 60+) - (no-vax)";"1";" -3.10470580";"   0.4407661";"Inf";"   -4.084005";"-2.125407e+00";"V3 60+";"no-vax";"  8";" 71160";" 971588";"27";"16498";" 938916";"1314.813";"1326.400";"149516";"0.4034216121";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"0";" -0.83483374";"   0.4023699";"Inf";"   -1.728824";" 5.915633e-02";"V3 14-60D";"no-vax";" 15";" 74531";"1058602";"12";"23394";" 640956";"6269.863";"6288.903";"167779";"0.0003795146";"vac_heterologous"
