"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"1";" -0.714080957";"   0.4228510";"Inf";"-1.653576e+00";"   0.22541425";"V3 14-60D";"no-vax";" 30";" 19473";" 481738";"  7";" 4904";" 139396";"13472.798";"13495.416";"167675";"1.008729e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"1";" -0.575750515";"   0.3687745";"Inf";"-1.395098e+00";"   0.24359690";"V3 60+";"no-vax";" 30";" 19473";" 481738";" 10";" 4142";" 232922";"13472.798";"13495.416";"167675";"1.008729e-01";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"0";" -1.520765207";"   0.1644533";"Inf";"-1.886149e+00";"  -1.15538100";"V3 14-60D";"no-vax";"450";" 99818";"2471921";" 45";"24858";" 690281";"13538.920";"13561.538";"167675";"4.383581e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"0";" -0.976164513";"   0.1237639";"Inf";"-1.251145e+00";"  -0.70118444";"V3 60+";"no-vax";"450";" 99818";"2471921";" 96";"19758";"1131092";"13538.920";"13561.538";"167675";"4.383581e-01";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"1";" -1.968738118";"   0.4651756";"Inf";"-3.002271e+00";"  -0.93520556";"V3 14-60D";"no-vax";" 73";" 16655";" 353751";"  5";" 4011";" 100487";"13538.920";"13561.538";"167675";"4.383581e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"1";" -1.283486418";"   0.3162420";"Inf";"-1.986117e+00";"  -0.58085627";"V3 60+";"no-vax";" 73";" 16655";" 353751";" 12";" 2575";" 157039";"13538.920";"13561.538";"167675";"4.383581e-01";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"0";" -1.516285267";"   0.1662690";"Inf";"-1.885704e+00";"  -1.14686685";"V3 14-60D";"no-vax";"434";"100058";"2431835";" 44";"24818";" 681539";"13533.443";"13556.061";"167675";"3.656246e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"0";" -1.063304878";"   0.1294966";"Inf";"-1.351022e+00";"  -0.77558781";"V3 60+";"no-vax";"434";"100058";"2431835";" 85";"19294";"1107274";"13533.443";"13556.061";"167675";"3.656246e-01";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"1";" -1.913225801";"   0.4248406";"Inf";"-2.857142e+00";"  -0.96931005";"V3 14-60D";"no-vax";" 89";" 16415";" 393837";"  6";" 4051";" 109229";"13533.443";"13556.061";"167675";"3.656246e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"1";" -0.807215978";"   0.2398041";"Inf";"-1.340015e+00";"  -0.27441654";"V3 60+";"no-vax";" 89";" 16415";" 393837";" 23";" 3039";" 180857";"13533.443";"13556.061";"167675";"3.656246e-01";"cancer_dx_colorectal"
