"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V2 7D+) - (no-vax)";"0";" -1.2199468";"5.424860e-02";"Inf";"-1.340477e+00";"  -1.09941658";"V2 7D+";"no-vax";"2350";"174672";"6403811.5";"431";" 48270";"3539156";"69108.67";"69138.98";"355610";"9.865493e-02";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"1";" -1.0249611";"3.013882e-01";"Inf";"-1.694589e+00";"  -0.35533329";"V1 14D+";"no-vax";" 146";" 24492";" 780198.5";" 12";" 10657";" 158353";"69108.67";"69138.98";"355610";"9.865493e-02";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"1";" -0.8142048";"1.756875e-01";"Inf";"-1.204549e+00";"  -0.42386024";"V2 7D+";"no-vax";" 146";" 24492";" 780198.5";" 42";"  5984";" 443535";"69108.67";"69138.98";"355610";"9.865493e-02";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"0";" -1.0613798";"8.256068e-02";"Inf";"-1.244814e+00";"  -0.87794556";"V1 14D+";"no-vax";"2133";"173094";"6315504.0";"175";" 89283";"1317104";"69179.77";"69210.08";"355610";"7.613005e-01";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"0";" -1.1783858";"5.602230e-02";"Inf";"-1.302857e+00";"  -1.05391478";"V2 7D+";"no-vax";"2133";"173094";"6315504.0";"404";" 47208";"3459653";"69179.77";"69210.08";"355610";"7.613005e-01";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"1";" -1.0767477";"1.917321e-01";"Inf";"-1.502740e+00";"  -0.65075519";"V1 14D+";"no-vax";" 363";" 26070";" 868506.0";" 30";" 12909";" 184040";"69179.77";"69210.08";"355610";"7.613005e-01";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"1";" -1.2824643";"1.321555e-01";"Inf";"-1.576089e+00";"  -0.98883967";"V2 7D+";"no-vax";" 363";" 26070";" 868506.0";" 69";"  7046";" 523038";"69179.77";"69210.08";"355610";"7.613005e-01";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"0";" -1.0328679";"8.541838e-02";"Inf";"-1.222651e+00";"  -0.84308439";"V1 14D+";"no-vax";"1916";"187524";"6741537.0";"163";" 96355";"1419115";"68247.60";"68277.92";"355610";"9.845747e-01";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"0";" -1.1589298";"5.803871e-02";"Inf";"-1.287881e+00";"  -1.02997868";"V2 7D+";"no-vax";"1916";"187524";"6741537.0";"378";" 51264";"3775849";"68247.60";"68277.92";"355610";"9.845747e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"1";" -1.0643227";"1.620337e-01";"Inf";"-1.424331e+00";"  -0.70431443";"V1 14D+";"no-vax";" 580";" 11640";" 442473.0";" 42";"  5837";"  82029";"68247.60";"68277.92";"355610";"9.845747e-01";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"1";" -1.1593998";"1.115152e-01";"Inf";"-1.407166e+00";"  -0.91163402";"V2 7D+";"no-vax";" 580";" 11640";" 442473.0";" 95";"  2990";" 206842";"68247.60";"68277.92";"355610";"9.845747e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"0";" -1.0771105";"7.919250e-02";"Inf";"-1.253061e+00";"  -0.90115969";"V1 14D+";"no-vax";"2376";"193181";"6966010.0";"192";" 99242";"1452689";"69166.31";"69196.62";"355610";"5.013532e-01";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"0";" -1.1812235";"5.302268e-02";"Inf";"-1.299030e+00";"  -1.06341713";"V2 7D+";"no-vax";"2376";"193181";"6966010.0";"456";" 52685";"3872265";"69166.31";"69196.62";"355610";"5.013532e-01";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"1";" -0.8407818";"2.929070e-01";"Inf";"-1.491566e+00";"  -0.18999750";"V1 14D+";"no-vax";" 120";"  5983";" 218000.0";" 13";"  2950";"  48455";"69166.31";"69196.62";"355610";"5.013532e-01";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"1";" -1.3889911";"2.595398e-01";"Inf";"-1.965640e+00";"  -0.81234253";"V2 7D+";"no-vax";" 120";"  5983";" 218000.0";" 17";"  1569";" 110426";"69166.31";"69196.62";"355610";"5.013532e-01";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"0";" -1.0516978";"7.714388e-02";"Inf";"-1.223097e+00";"  -0.88029858";"V1 14D+";"no-vax";"2462";"194879";"7028654.0";"204";"100089";"1465711";"69181.46";"69211.77";"355610";"3.040967e-01";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"0";" -1.1956128";"5.248025e-02";"Inf";"-1.312214e+00";"  -1.07901154";"V2 7D+";"no-vax";"2462";"194879";"7028654.0";"465";" 53116";"3900309";"69181.46";"69211.77";"355610";"3.040967e-01";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"1";" -2.1692063";"1.014834e+00";"Inf";"-4.423977e+00";"   0.08556444";"V1 14D+";"no-vax";"  34";"  4285";" 155356.0";"  1";"  2103";"  35433";"69181.46";"69211.77";"355610";"3.040967e-01";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"1";" -0.9266687";"3.932185e-01";"Inf";"-1.800326e+00";"  -0.05301127";"V2 7D+";"no-vax";"  34";"  4285";" 155356.0";"  8";"  1138";"  82382";"69181.46";"69211.77";"355610";"3.040967e-01";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"0";" -1.0877709";"8.048454e-02";"Inf";"-1.266592e+00";"  -0.90894941";"V1 14D+";"no-vax";"2304";"181375";"6582458.0";"185";" 93767";"1379046";"69191.26";"69221.57";"355610";"1.686888e-01";"cancer_dx_bladder"
"(V2 7D+) - (no-vax)";"0";" -1.2164106";"5.467432e-02";"Inf";"-1.337887e+00";"  -1.09493458";"V2 7D+";"no-vax";"2304";"181375";"6582458.0";"424";" 49639";"3637759";"69191.26";"69221.57";"355610";"1.686888e-01";"cancer_dx_bladder"
"(V1 14D+) - (no-vax)";"1";" -0.7948770";"2.363424e-01";"Inf";"-1.319985e+00";"  -0.26976879";"V1 14D+";"no-vax";" 192";" 17789";" 601552.0";" 20";"  8425";" 122098";"69191.26";"69221.57";"355610";"1.686888e-01";"cancer_dx_bladder"
"(V2 7D+) - (no-vax)";"1";" -0.9365429";"1.607036e-01";"Inf";"-1.293596e+00";"  -0.57948975";"V2 7D+";"no-vax";" 192";" 17789";" 601552.0";" 49";"  4615";" 344932";"69191.26";"69221.57";"355610";"1.686888e-01";"cancer_dx_bladder"
