"vac_exposure_date";"vac_number";"vac_concept_id";"n"
2021-04-30;"Dose Two";"AZ-ChAdOx1";1
2021-05-01;"Dose One";"Pfizer-mRNA-BNT162b";591
2021-05-01;"Dose One";"Moderna-mRNA-1273";28
2021-05-01;"Dose One";"AZ-ChAdOx1";62
2021-05-01;"Dose One";"Jansen-Ad26";2
2021-05-01;"Dose Two";"Pfizer-mRNA-BNT162b";10
2021-05-01;"Dose Two";"Moderna-mRNA-1273";1
2021-05-02;"Dose One";"Pfizer-mRNA-BNT162b";319
2021-05-02;"Dose One";"Moderna-mRNA-1273";5
2021-05-02;"Dose One";"AZ-ChAdOx1";15
