"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"vac_concept_id";"n"
2021-02-05;"Dose Two";"4";"Pfizer-mRNA-BNT162b";23
2021-02-06;"Dose One";"0";"Moderna-mRNA-1273";1
2021-02-06;"Dose One";"2";"Moderna-mRNA-1273";1
2021-02-06;"Dose Two";"0";"Pfizer-mRNA-BNT162b";12
2021-02-06;"Dose Two";"1";"Pfizer-mRNA-BNT162b";4
2021-02-06;"Dose Two";"2";"Pfizer-mRNA-BNT162b";5
2021-02-06;"Dose Two";"3";"Pfizer-mRNA-BNT162b";5
2021-02-06;"Dose Two";"4";"Pfizer-mRNA-BNT162b";1
2021-02-07;"Dose One";"0";"Moderna-mRNA-1273";2
2021-02-07;"Dose One";"0";"AZ-ChAdOx1";1
2021-02-07;"Dose One";"1";"Moderna-mRNA-1273";1
2021-02-07;"Dose One";"4";"Moderna-mRNA-1273";1
2021-02-07;"Dose Two";"0";"Pfizer-mRNA-BNT162b";1
2021-02-07;"Dose Two";"2";"Pfizer-mRNA-BNT162b";1
2021-02-08;"Dose One";"0";"Pfizer-mRNA-BNT162b";3
2021-02-08;"Dose One";"0";"Moderna-mRNA-1273";3
2021-02-08;"Dose One";"1";"Pfizer-mRNA-BNT162b";3
2021-02-08;"Dose One";"1";"Moderna-mRNA-1273";9
2021-02-08;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-02-08;"Dose One";"2";"Moderna-mRNA-1273";1
2021-02-08;"Dose One";"3";"Pfizer-mRNA-BNT162b";3
2021-02-08;"Dose One";"3";"Moderna-mRNA-1273";3
2021-02-08;"Dose One";"4";"Moderna-mRNA-1273";3
2021-02-08;"Dose Two";"0";"Pfizer-mRNA-BNT162b";19
2021-02-08;"Dose Two";"1";"Pfizer-mRNA-BNT162b";14
2021-02-08;"Dose Two";"2";"Pfizer-mRNA-BNT162b";14
2021-02-08;"Dose Two";"3";"Pfizer-mRNA-BNT162b";13
2021-02-08;"Dose Two";"4";"Pfizer-mRNA-BNT162b";10
2021-02-09;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-02-09;"Dose One";"0";"AZ-ChAdOx1";1
2021-02-09;"Dose One";"1";"Pfizer-mRNA-BNT162b";2
2021-02-09;"Dose One";"1";"AZ-ChAdOx1";2
2021-02-09;"Dose One";"2";"Moderna-mRNA-1273";2
2021-02-09;"Dose One";"2";"AZ-ChAdOx1";2
2021-02-09;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-02-09;"Dose One";"4";"Moderna-mRNA-1273";1
2021-02-09;"Dose Two";"0";"Pfizer-mRNA-BNT162b";28
2021-02-09;"Dose Two";"1";"Pfizer-mRNA-BNT162b";15
2021-02-09;"Dose Two";"2";"Pfizer-mRNA-BNT162b";19
2021-02-09;"Dose Two";"3";"Pfizer-mRNA-BNT162b";14
2021-02-09;"Dose Two";"4";"Pfizer-mRNA-BNT162b";11
2021-02-10;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-02-10;"Dose One";"0";"Moderna-mRNA-1273";5
2021-02-10;"Dose One";"0";"AZ-ChAdOx1";13
2021-02-10;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-02-10;"Dose One";"1";"Moderna-mRNA-1273";2
2021-02-10;"Dose One";"1";"AZ-ChAdOx1";14
2021-02-10;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-02-10;"Dose One";"2";"Moderna-mRNA-1273";2
2021-02-10;"Dose One";"2";"AZ-ChAdOx1";10
2021-02-10;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-02-10;"Dose One";"3";"Moderna-mRNA-1273";1
2021-02-10;"Dose One";"3";"AZ-ChAdOx1";14
2021-02-10;"Dose One";"4";"Pfizer-mRNA-BNT162b";2
2021-02-10;"Dose One";"4";"Moderna-mRNA-1273";1
2021-02-10;"Dose One";"4";"AZ-ChAdOx1";9
2021-02-10;"Dose Two";"0";"Pfizer-mRNA-BNT162b";14
2021-02-10;"Dose Two";"1";"Pfizer-mRNA-BNT162b";8
2021-02-10;"Dose Two";"2";"Pfizer-mRNA-BNT162b";19
2021-02-10;"Dose Two";"3";"Pfizer-mRNA-BNT162b";8
2021-02-10;"Dose Two";"4";"Pfizer-mRNA-BNT162b";17
2021-02-11;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-02-11;"Dose One";"0";"Moderna-mRNA-1273";13
2021-02-11;"Dose One";"0";"AZ-ChAdOx1";19
2021-02-11;"Dose One";"1";"Pfizer-mRNA-BNT162b";3
2021-02-11;"Dose One";"1";"Moderna-mRNA-1273";5
2021-02-11;"Dose One";"1";"AZ-ChAdOx1";10
2021-02-11;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-02-11;"Dose One";"2";"Moderna-mRNA-1273";6
2021-02-11;"Dose One";"2";"AZ-ChAdOx1";8
2021-02-11;"Dose One";"3";"Pfizer-mRNA-BNT162b";10
2021-02-11;"Dose One";"3";"Moderna-mRNA-1273";1
2021-02-11;"Dose One";"3";"AZ-ChAdOx1";5
2021-02-11;"Dose One";"4";"Pfizer-mRNA-BNT162b";5
2021-02-11;"Dose One";"4";"Moderna-mRNA-1273";2
2021-02-11;"Dose One";"4";"AZ-ChAdOx1";8
2021-02-11;"Dose Two";"0";"Pfizer-mRNA-BNT162b";20
2021-02-11;"Dose Two";"1";"Pfizer-mRNA-BNT162b";8
2021-02-11;"Dose Two";"2";"Pfizer-mRNA-BNT162b";9
2021-02-11;"Dose Two";"3";"Pfizer-mRNA-BNT162b";13
2021-02-11;"Dose Two";"4";"Pfizer-mRNA-BNT162b";6
2021-02-12;"Dose One";"0";"Pfizer-mRNA-BNT162b";25
2021-02-12;"Dose One";"0";"Moderna-mRNA-1273";7
2021-02-12;"Dose One";"0";"AZ-ChAdOx1";15
2021-02-12;"Dose One";"1";"Pfizer-mRNA-BNT162b";17
2021-02-12;"Dose One";"1";"Moderna-mRNA-1273";4
2021-02-12;"Dose One";"1";"AZ-ChAdOx1";2
2021-02-12;"Dose One";"2";"Pfizer-mRNA-BNT162b";15
2021-02-12;"Dose One";"2";"Moderna-mRNA-1273";6
2021-02-12;"Dose One";"2";"AZ-ChAdOx1";5
2021-02-12;"Dose One";"3";"Pfizer-mRNA-BNT162b";9
2021-02-12;"Dose One";"3";"Moderna-mRNA-1273";3
2021-02-12;"Dose One";"3";"AZ-ChAdOx1";7
2021-02-12;"Dose One";"4";"Pfizer-mRNA-BNT162b";8
2021-02-12;"Dose One";"4";"Moderna-mRNA-1273";3
2021-02-12;"Dose One";"4";"AZ-ChAdOx1";4
2021-02-12;"Dose Two";"0";"Pfizer-mRNA-BNT162b";25
2021-02-12;"Dose Two";"1";"Pfizer-mRNA-BNT162b";14
2021-02-12;"Dose Two";"2";"Pfizer-mRNA-BNT162b";13
2021-02-12;"Dose Two";"3";"Pfizer-mRNA-BNT162b";14
2021-02-12;"Dose Two";"4";"Pfizer-mRNA-BNT162b";11
2021-02-13;"Dose One";"0";"Pfizer-mRNA-BNT162b";3
2021-02-13;"Dose One";"1";"Pfizer-mRNA-BNT162b";5
2021-02-13;"Dose One";"2";"Pfizer-mRNA-BNT162b";6
2021-02-13;"Dose One";"3";"Pfizer-mRNA-BNT162b";6
2021-02-13;"Dose One";"4";"Pfizer-mRNA-BNT162b";3
2021-02-13;"Dose One";"4";"Moderna-mRNA-1273";1
2021-02-13;"Dose One";"4";"AZ-ChAdOx1";1
2021-02-13;"Dose Two";"0";"Pfizer-mRNA-BNT162b";4
2021-02-13;"Dose Two";"1";"Pfizer-mRNA-BNT162b";3
2021-02-13;"Dose Two";"2";"Pfizer-mRNA-BNT162b";4
2021-02-13;"Dose Two";"3";"Pfizer-mRNA-BNT162b";5
2021-02-13;"Dose Two";"4";"Pfizer-mRNA-BNT162b";2
2021-02-14;"Dose One";"0";"AZ-ChAdOx1";1
2021-02-14;"Dose One";"1";"AZ-ChAdOx1";1
2021-02-14;"Dose One";"2";"AZ-ChAdOx1";2
2021-02-14;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-02-14;"Dose One";"4";"Jansen-Ad26";1
2021-02-14;"Dose Two";"0";"Pfizer-mRNA-BNT162b";1
2021-02-14;"Dose Two";"1";"Pfizer-mRNA-BNT162b";2
2021-02-14;"Dose Two";"3";"Pfizer-mRNA-BNT162b";1
2021-02-14;"Dose Two";"4";"Pfizer-mRNA-BNT162b";1
