"vac_exposure_date";"vac_concept_id";"n"
2021-06-15;"Pfizer-mRNA-BNT162b";573
2021-06-15;"Moderna-mRNA-1273";196
2021-06-15;"AZ-ChAdOx1";167
2021-06-15;"Jansen-Ad26";78
2021-06-16;"Pfizer-mRNA-BNT162b";576
2021-06-16;"Moderna-mRNA-1273";150
2021-06-16;"AZ-ChAdOx1";429
2021-06-16;"Jansen-Ad26";106
2021-06-17;"Pfizer-mRNA-BNT162b";429
2021-06-17;"Moderna-mRNA-1273";240
2021-06-17;"AZ-ChAdOx1";429
2021-06-17;"Jansen-Ad26";165
2021-06-18;"Pfizer-mRNA-BNT162b";655
2021-06-18;"Moderna-mRNA-1273";188
2021-06-18;"AZ-ChAdOx1";390
2021-06-18;"Jansen-Ad26";65
2021-06-19;"Pfizer-mRNA-BNT162b";243
2021-06-19;"Moderna-mRNA-1273";77
2021-06-19;"AZ-ChAdOx1";341
2021-06-19;"Jansen-Ad26";30
2021-06-20;"Pfizer-mRNA-BNT162b";161
2021-06-20;"Moderna-mRNA-1273";14
2021-06-20;"AZ-ChAdOx1";365
2021-06-20;"Jansen-Ad26";6
2021-06-21;"Pfizer-mRNA-BNT162b";351
2021-06-21;"Moderna-mRNA-1273";124
2021-06-21;"AZ-ChAdOx1";810
2021-06-21;"Jansen-Ad26";71
2021-06-22;"Pfizer-mRNA-BNT162b";513
2021-06-22;"Moderna-mRNA-1273";139
2021-06-22;"AZ-ChAdOx1";1093
2021-06-22;"Jansen-Ad26";89
2021-06-23;"Pfizer-mRNA-BNT162b";428
2021-06-23;"Moderna-mRNA-1273";137
2021-06-23;"AZ-ChAdOx1";552
2021-06-23;"Jansen-Ad26";73
2021-06-24;"Pfizer-mRNA-BNT162b";148
2021-06-24;"Moderna-mRNA-1273";60
2021-06-24;"AZ-ChAdOx1";223
2021-06-25;"Pfizer-mRNA-BNT162b";497
2021-06-25;"Moderna-mRNA-1273";166
2021-06-25;"AZ-ChAdOx1";569
2021-06-25;"Jansen-Ad26";31
2021-06-26;"Pfizer-mRNA-BNT162b";299
2021-06-26;"Moderna-mRNA-1273";73
2021-06-26;"AZ-ChAdOx1";567
2021-06-26;"Jansen-Ad26";10
2021-06-27;"Pfizer-mRNA-BNT162b";267
2021-06-27;"Moderna-mRNA-1273";60
2021-06-27;"AZ-ChAdOx1";251
2021-06-27;"Jansen-Ad26";5
2021-06-28;"Pfizer-mRNA-BNT162b";607
2021-06-28;"Moderna-mRNA-1273";95
2021-06-28;"AZ-ChAdOx1";492
2021-06-28;"Jansen-Ad26";23
2021-06-29;"Pfizer-mRNA-BNT162b";540
2021-06-29;"Moderna-mRNA-1273";105
2021-06-29;"AZ-ChAdOx1";542
2021-06-29;"Jansen-Ad26";57
2021-06-30;"Pfizer-mRNA-BNT162b";570
2021-06-30;"Moderna-mRNA-1273";123
2021-06-30;"AZ-ChAdOx1";408
2021-06-30;"Jansen-Ad26";68
2021-07-01;"Pfizer-mRNA-BNT162b";496
2021-07-01;"Moderna-mRNA-1273";184
2021-07-01;"AZ-ChAdOx1";748
2021-07-01;"Jansen-Ad26";36
2021-07-02;"Pfizer-mRNA-BNT162b";771
2021-07-02;"Moderna-mRNA-1273";109
2021-07-02;"AZ-ChAdOx1";462
2021-07-02;"Jansen-Ad26";28
2021-07-03;"Pfizer-mRNA-BNT162b";259
2021-07-03;"Moderna-mRNA-1273";15
2021-07-03;"AZ-ChAdOx1";357
2021-07-03;"Jansen-Ad26";19
2021-07-04;"Pfizer-mRNA-BNT162b";162
2021-07-04;"Moderna-mRNA-1273";35
2021-07-04;"AZ-ChAdOx1";301
2021-07-04;"Jansen-Ad26";4
2021-07-05;"Pfizer-mRNA-BNT162b";418
2021-07-05;"Moderna-mRNA-1273";147
2021-07-05;"AZ-ChAdOx1";569
2021-07-05;"Jansen-Ad26";21
2021-07-06;"Pfizer-mRNA-BNT162b";447
2021-07-06;"Moderna-mRNA-1273";92
2021-07-06;"AZ-ChAdOx1";760
2021-07-06;"Jansen-Ad26";24
2021-07-07;"Pfizer-mRNA-BNT162b";432
2021-07-07;"Moderna-mRNA-1273";68
2021-07-07;"AZ-ChAdOx1";987
2021-07-07;"Jansen-Ad26";51
2021-07-08;"Pfizer-mRNA-BNT162b";344
2021-07-08;"Moderna-mRNA-1273";103
2021-07-08;"AZ-ChAdOx1";577
2021-07-08;"Jansen-Ad26";72
2021-07-09;"Pfizer-mRNA-BNT162b";428
2021-07-09;"Moderna-mRNA-1273";97
2021-07-09;"AZ-ChAdOx1";463
2021-07-09;"Jansen-Ad26";35
2021-07-10;"Pfizer-mRNA-BNT162b";236
2021-07-10;"Moderna-mRNA-1273";26
2021-07-10;"AZ-ChAdOx1";366
2021-07-10;"Jansen-Ad26";23
2021-07-11;"Pfizer-mRNA-BNT162b";96
2021-07-11;"Moderna-mRNA-1273";49
2021-07-11;"AZ-ChAdOx1";188
2021-07-11;"Jansen-Ad26";15
2021-07-12;"Pfizer-mRNA-BNT162b";301
2021-07-12;"Moderna-mRNA-1273";59
2021-07-12;"AZ-ChAdOx1";311
2021-07-12;"Jansen-Ad26";40
2021-07-13;"Pfizer-mRNA-BNT162b";316
2021-07-13;"Moderna-mRNA-1273";55
2021-07-13;"AZ-ChAdOx1";211
2021-07-13;"Jansen-Ad26";34
2021-07-14;"Pfizer-mRNA-BNT162b";301
