"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"1";"-14.13163453";"676.41705592";"Inf";"-1517.0029455";" 1.488740e+03";"V1 14D+";"no-vax";" 12";"  5980";" 217512.0";"  0";"  2949";"  48470";"15038.03";"15060.67";"355455";"0.0681246360";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"1";" -0.19903786";"  0.50076804";"Inf";"   -1.3116501";" 9.135744e-01";"V2 7D+";"no-vax";" 12";"  5980";" 217512.0";"  6";"  1567";" 110102";"15038.03";"15060.67";"355455";"0.0681246360";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"0";" -0.44607666";"  0.13880588";"Inf";"   -0.7544772";"-1.376761e-01";"V1 14D+";"no-vax";"466";"194821";"7014099.0";" 69";"100046";"1463706";"15026.37";"15049.02";"355455";"0.0147937483";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"0";" -0.76479456";"  0.09887246";"Inf";"   -0.9844705";"-5.451186e-01";"V2 7D+";"no-vax";"466";"194821";"7014099.0";"145";" 53067";"3894879";"15026.37";"15049.02";"355455";"0.0147937483";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"1";"-10.99263766";"479.71877126";"Inf";"-1076.8374036";" 1.054852e+03";"V1 14D+";"no-vax";"  1";"  4285";" 155356.0";"  0";"  2101";"  35401";"15026.37";"15049.02";"355455";"0.0147937483";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"1";"  1.83492745";"  1.11838316";"Inf";"   -0.6499093";" 4.319764e+00";"V2 7D+";"no-vax";"  1";"  4285";" 155356.0";"  4";"  1135";"  82062";"15026.37";"15049.02";"355455";"0.0147937483";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"0";" -0.46003214";"  0.14628424";"Inf";"   -0.7850482";"-1.350161e-01";"V1 14D+";"no-vax";"416";"181330";"6570085.0";" 61";" 93722";"1377119";"15038.13";"15060.78";"355455";"0.8796882005";"cancer_dx_bladder"
"(V2 7D+) - (no-vax)";"0";" -0.72582569";"  0.10292609";"Inf";"   -0.9545081";"-4.971433e-01";"V2 7D+";"no-vax";"416";"181330";"6570085.0";"134";" 49592";"3632548";"15038.13";"15060.78";"355455";"0.8796882005";"cancer_dx_bladder"
"(V1 14D+) - (no-vax)";"1";" -0.38241806";"  0.38372148";"Inf";"   -1.2349749";" 4.701388e-01";"V1 14D+";"no-vax";" 51";" 17776";" 599370.0";"  8";"  8425";" 121988";"15038.13";"15060.78";"355455";"0.8796882005";"cancer_dx_bladder"
"(V2 7D+) - (no-vax)";"1";" -0.85727242";"  0.29507986";"Inf";"   -1.5128843";"-2.016605e-01";"V2 7D+";"no-vax";" 51";" 17776";" 599370.0";" 15";"  4610";" 344393";"15038.13";"15060.78";"355455";"0.8796882005";"cancer_dx_bladder"
"(V1 14D+) - (no-vax)";"0";" -0.48065282";"  0.14213530";"Inf";"   -0.7964507";"-1.648550e-01";"V1 14D+";"no-vax";"452";"195347";"7022421.0";" 65";"100234";"1472868";"15024.52";"15047.16";"355455";"0.0636944457";"cancer_dx_liver_biliary"
"(V2 7D+) - (no-vax)";"0";" -0.77912800";"  0.10070979";"Inf";"   -1.0028862";"-5.553698e-01";"V2 7D+";"no-vax";"452";"195347";"7022421.0";"139";" 53233";"3908256";"15024.52";"15047.16";"355455";"0.0636944457";"cancer_dx_liver_biliary"
"(V1 14D+) - (no-vax)";"1";"  0.32478626";"  0.56533626";"Inf";"   -0.9312844";" 1.580857e+00";"V1 14D+";"no-vax";" 15";"  3759";" 147034.0";"  4";"  1913";"  26239";"15024.52";"15047.16";"355455";"0.0636944457";"cancer_dx_liver_biliary"
"(V2 7D+) - (no-vax)";"1";"  0.17082230";"  0.40905682";"Inf";"   -0.7380249";" 1.079670e+00";"V2 7D+";"no-vax";" 15";"  3759";" 147034.0";" 10";"   969";"  68685";"15024.52";"15047.16";"355455";"0.0636944457";"cancer_dx_liver_biliary"
"(V1 14D+) - (no-vax)";"0";" -0.47446001";"  0.14031838";"Inf";"   -0.7862210";"-1.626990e-01";"V1 14D+";"no-vax";"466";"191595";"6913716.0";" 67";" 98171";"1440181";"15016.67";"15039.32";"355455";"0.0191058526";"cancer_dx_melanoma"
"(V2 7D+) - (no-vax)";"0";" -0.75778953";"  0.09887308";"Inf";"   -0.9774669";"-5.381122e-01";"V2 7D+";"no-vax";"466";"191595";"6913716.0";"145";" 52096";"3817147";"15016.67";"15039.32";"355455";"0.0191058526";"cancer_dx_melanoma"
"(V1 14D+) - (no-vax)";"1";"  2.04408328";"  1.22573969";"Inf";"   -0.6792795";" 4.767446e+00";"V1 14D+";"no-vax";"  1";"  7511";" 255739.0";"  2";"  3976";"  58926";"15016.67";"15039.32";"355455";"0.0191058526";"cancer_dx_melanoma"
"(V2 7D+) - (no-vax)";"1";"  1.65793425";"  1.11839927";"Inf";"   -0.8269383";" 4.142807e+00";"V2 7D+";"no-vax";"  1";"  7511";" 255739.0";"  4";"  2106";" 159794";"15016.67";"15039.32";"355455";"0.0191058526";"cancer_dx_melanoma"
"(V1 14D+) - (no-vax)";"0";" -0.46385565";"  0.14039581";"Inf";"   -0.7757887";"-1.519226e-01";"V1 14D+";"no-vax";"458";"196068";"7048058.0";" 67";"100577";"1477926";"15035.16";"15057.81";"355455";"0.0914792829";"cancer_dx_pancreas"
"(V2 7D+) - (no-vax)";"0";" -0.77116492";"  0.09980497";"Inf";"   -0.9929128";"-5.494171e-01";"V2 7D+";"no-vax";"458";"196068";"7048058.0";"142";" 53423";"3923233";"15035.16";"15057.81";"355455";"0.0914792829";"cancer_dx_pancreas"
