"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"1";" -1.2261990";"1.361194e-01";"Inf";"   -1.5286306";"  -0.92376736";"V3 60+";"no-vax";"421";" 13481";" 367035";" 67";" 2612";" 147472";"21619.429";"21644.566";"167779";"8.794569e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"Delta VOC";" -1.9963816";"1.578398e-01";"Inf";"   -2.3470720";"  -1.64569132";"V3 14-60D";"no-vax";"643";"108534";"2203918";" 46";"28876";" 791359";"22288.973";"22304.055";"167779";"8.731457e-04";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";" -1.8497793";"2.000071e-01";"Inf";"   -2.2941575";"  -1.40540113";"V3 60+";"no-vax";"643";"108534";"2203918";" 30";"11885";" 398297";"22288.973";"22304.055";"167779";"8.731457e-04";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";"279";"  7997";" 632395";NA;NA;NA;"22288.973";"22304.055";"167779";"8.731457e-04";"covid_voc"
"(V3 60+) - (no-vax)";"Omicron VOC";" -1.1263186";"1.065362e-01";"Inf";"   -1.3351257";"  -0.91751151";"V3 60+";"no-vax";"279";"  7997";" 632395";"129";"10487";" 892312";"22288.973";"22304.055";"167779";"8.731457e-04";"covid_voc"
"(V3 14-60D) - (no-vax)";"0";"  0.0000000";"0.000000e+00";"Inf";"    0.0000000";"   0.00000000";"V3 14-60D";"no-vax";"  1";" 12814";" 121994";"  3";" 5482";" 150403";" 3834.793";" 3844.863";"105515";"7.658863e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"0";"  0.0000000";"0.000000e+00";"Inf";"    0.0000000";"   0.00000000";"V3 60+";"no-vax";"  1";" 12814";" 121994";"  9";" 4381";" 254322";" 3834.793";" 3844.863";"105515";"7.658863e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"1";"  0.7902193";"1.234463e+00";"Inf";"   -1.9525254";"   3.53296395";"V3 14-60D";"no-vax";"  6";" 41453";" 450908";" 43";"23394";" 640956";" 3834.793";" 3844.863";"105515";"7.658863e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"1";"  0.9023816";"1.133922e+00";"Inf";"   -1.6169803";"   3.42174357";"V3 60+";"no-vax";"  6";" 41453";" 450908";"150";"17991";"1036287";" 3834.793";" 3844.863";"105515";"7.658863e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"0";" 15.8559434";"3.680312e+02";"Inf";" -801.8400633";" 833.55195016";"V3 14-60D";"no-vax";" 11";" 27108";" 370447";" 26";"10696";" 266078";" 4089.719";" 4106.822";"149516";"4.204240e-01";"vac_diff_vac"
"(V3 60+) - (no-vax)";"0";" -0.9517514";"3.498538e-01";"Inf";"   -1.7290605";"  -0.17444223";"V3 60+";"no-vax";" 11";" 27108";" 370447";" 74";" 5874";" 351693";" 4089.719";" 4106.822";"149516";"4.204240e-01";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"1";" 15.1541165";"3.680312e+02";"Inf";" -802.5418697";" 832.85010266";"V3 14-60D";"no-vax";" 10";" 71160";" 971588";" 20";"18180";" 525281";" 4089.719";" 4106.822";"149516";"4.204240e-01";"vac_diff_vac"
"(V3 60+) - (no-vax)";"1";" -1.3707974";"4.055557e-01";"Inf";"   -2.2718658";"  -0.46972900";"V3 60+";"no-vax";" 10";" 71160";" 971588";" 85";"16498";" 938916";" 4089.719";" 4106.822";"149516";"4.204240e-01";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"0";"  1.0246234";"2.784121e-01";"Inf";"    0.4060441";"   1.64320271";"V3 14-60D";"no-vax";" 20";" 74531";"1058602";" 43";"23394";" 640956";"21768.783";"21793.919";"167779";"3.140993e-65";"vac_heterologous"
"(V3 60+) - (no-vax)";"0";"  2.0594205";"2.490103e-01";"Inf";"    1.5061665";"   2.61267454";"V3 60+";"no-vax";" 20";" 74531";"1058602";"150";"17991";"1036359";"21768.783";"21793.919";"167779";"3.140993e-65";"vac_heterologous"
